movie_id,primary_title,original_title,start_year,runtime_minutes,genre1,genre2,genre3
tt3532216,American Made,American Made,2017,115.0,Action,Biography,Comedy
tt3532608,The Fluffy Movie: Unity Through Laughter,The Fluffy Movie: Unity Through Laughter,2014,101.0,Comedy,Documentary,
tt3544082,45 Years,45 Years,2015,91.0,Drama,Romance,
tt3544112,Sing Street,Sing Street,2016,106.0,Comedy,Drama,Music
tt3548328,Dog Days,Dog Days,2013,75.0,Drama,,
tt5465334,Dog Days,San fu tian,2016,95.0,Drama,,
tt7365604,Dog Days,Dog Days,2018,113.0,Drama,,
tt9204088,Dog Days,Dog Days,2018,124.0,Drama,,
tt3553442,Whiskey Tango Foxtrot,Whiskey Tango Foxtrot,2016,112.0,Biography,Comedy,Drama
tt3553976,Captain Fantastic,Captain Fantastic,2016,118.0,Comedy,Drama,
tt3564472,Girls Trip,Girls Trip,2017,122.0,Comedy,Drama,
tt3566920,The Other Side of the Door,The Other Side of the Door,2014,90.0,Drama,,
tt3702652,The Other Side of the Door,The Other Side of the Door,2016,96.0,Drama,,
tt3574904,Fall,Fall,2014,82.0,Drama,,
tt5042620,Fall,Those Who Fall,2015,90.0,Drama,,
tt7162372,Fall,Fall,2018,,Drama,,
tt3581652,West Side Story,West Side Story,2020,,Crime,Drama,Musical
tt3588020,Umma,Umma,2011,,Drama,,
tt3596384,Fire,Fuego,2014,90.0,Drama,,
tt5167090,Fire,Fire,2014,19.0,Drama,,
tt5832000,Fire,Fire,2016,73.0,Drama,,
tt9299672,Fire,Fire,2018,85.0,Drama,,
tt3606752,Cars 3,Cars 3,2017,102.0,Adventure,Animation,Comedy
tt3606756,Incredibles 2,Incredibles 2,2018,118.0,Action,Adventure,Animation
tt3612616,Mommy,Mommy,2014,139.0,Drama,,
tt5152894,Mommy,Mommy,2015,135.0,Drama,,
tt3614530,Jem and the Holograms,Jem and the Holograms,2015,118.0,Adventure,Drama,Family
tt3622592,Paper Towns,Paper Towns,2015,109.0,Comedy,Drama,Mystery
tt3623726,Ricki and the Flash,Ricki and the Flash,2015,101.0,Comedy,Drama,Music
tt3628584,Barbershop: The Next Cut,Barbershop: The Next Cut,2016,111.0,Comedy,Drama,
tt3640424,Allied,Allied,2016,124.0,Action,Drama,Romance
tt3659388,The Martian,The Martian,2015,144.0,Adventure,Drama,Sci-Fi
tt3660770,Monkey Kingdom,Monkey Kingdom,2015,81.0,Documentary,,
tt3671922,I Am Here,I Am Here,2014,88.0,Documentary,Music,
tt3682448,Bridge of Spies,Bridge of Spies,2015,142.0,Drama,History,Thriller
tt3691740,The BFG,The BFG,2016,117.0,Adventure,Family,Fantasy
tt3695244,WARx2,WARx2,2014,117.0,Documentary,,
tt3713166,Unfriended,Unfriended,2014,83.0,Horror,Mystery,Thriller
tt3714950,The Lodge,The Lodge,2014,73.0,Drama,Horror,Thriller
tt3740668,The Lodge,The Lodge,2014,71.0,Drama,Horror,Thriller
tt7347846,The Lodge,The Lodge,2019,100.0,Drama,Horror,Thriller
tt3715320,Irrational Man,Irrational Man,2015,95.0,Comedy,Drama,
tt3717252,Underworld: Blood Wars,Underworld: Blood Wars,2016,91.0,Action,Adventure,Fantasy
tt3717490,Power Rangers,Power Rangers,2017,124.0,Action,Adventure,Sci-Fi
tt3719896,My All-American,My All-American,2015,118.0,Biography,Drama,Sport
tt3721954,Maudie,Maudie,2016,115.0,Biography,Drama,Romance
tt3721964,Gringo,Gringo,2018,111.0,Action,Comedy,Crime
tt4180008,Gringo,Gringo,2016,80.0,Action,Comedy,Crime
tt4772418,Gringo,Gringo,2015,89.0,Action,Comedy,Crime
tt3722070,The Lady in the Van,The Lady in the Van,2015,104.0,Biography,Comedy,Drama
tt3722234,Gosnell: The Trial of America's Biggest Serial Killer,Gosnell: The Trial of America's Biggest Serial Killer,2018,93.0,Crime,Drama,
tt3727750,Gifted,Gifted,2018,,Crime,Drama,Thriller
tt4023894,Gifted,Gipeuteodeu,2014,103.0,Crime,Drama,Thriller
tt4481414,Gifted,Gifted,2017,101.0,Crime,Drama,Thriller
tt3731562,Kong: Skull Island,Kong: Skull Island,2017,118.0,Action,Adventure,Fantasy
tt3735246,Bajirao Mastani,Bajirao Mastani,2015,158.0,Action,Drama,History
tt3741632,The Leisure Seeker,The Leisure Seeker,2017,112.0,Adventure,Comedy,Drama
tt3741700,Godzilla: King of the Monsters,Godzilla: King of the Monsters,2019,132.0,Action,Adventure,Fantasy
tt3741860,Awake: The Life of Yogananda,Awake: The Life of Yogananda,2014,87.0,Documentary,,
tt3748528,Rogue One: A Star Wars Story,Rogue One,2016,133.0,Action,Adventure,Sci-Fi
tt3750872,The Wife,The Wife,2017,99.0,Drama,,
tt3758630,Greed,Greed,2017,48.0,Drama,,
tt3845742,Greed,Kamkam,2014,,Drama,,
tt6120416,Greed,Greed,2017,,Drama,,
tt7200848,Greed,Greed,2018,,Drama,,
tt3760922,My Big Fat Greek Wedding 2,My Big Fat Greek Wedding 2,2016,94.0,Comedy,Romance,
tt3766354,The Equalizer 2,The Equalizer 2,2018,121.0,Action,Crime,Thriller
tt3766394,"Hello, My Name Is Doris","Hello, My Name Is Doris",2015,90.0,Comedy,Drama,Romance
tt3767372,Piku,Piku,2015,123.0,Comedy,Drama,
tt3774114,Snowden,Snowden,2016,134.0,Biography,Drama,Thriller
tt3778644,Solo: A Star Wars Story,Solo: A Star Wars Story,2018,135.0,Action,Adventure,Fantasy
tt3783958,La La Land,La La Land,2016,128.0,Comedy,Drama,Music
tt3787590,We Are Your Friends,We Are Your Friends,2015,96.0,Drama,Music,Romance
tt3794354,Sonic the Hedgehog,Sonic the Hedgehog,2020,,Action,Adventure,Family
tt3799694,The Nice Guys,The Nice Guys,2016,116.0,Action,Comedy,Crime
tt3808342,Son of Saul,Saul fia,2015,107.0,Drama,War,
tt3812366,Ode to My Father,Gukjesijang,2014,126.0,Drama,War,
tt3829266,The Predator,The Predator,2018,107.0,Action,Adventure,Sci-Fi
tt3829920,Only the Brave,Only the Brave,2017,134.0,Action,Biography,Drama
tt3832914,War Room,War Room,2015,120.0,Drama,,
tt3833480,The Outpost,The Outpost,2019,,Drama,War,
