id,release_date,primary_title,production_budget,domestic_gross,worldwide_gross,movie_id,original_title,runtime_minutes,genre1,genre2,genre3
83,2012,Haywire,23000000,18942396,36374700,tt1506999,Haywire,93.0,Action,Drama,Thriller
42,2014,The Legend of Hercules,70000000,18848538,58953319,tt1043726,The Legend of Hercules,99.0,Action,Adventure,Fantasy
75,2016,Eye in the Sky,13000000,18704596,35402802,tt2057392,Eye in the Sky,102.0,Drama,Thriller,War
92,2015,Still Alice,5000000,18656400,41699612,tt3316960,Still Alice,101.0,Drama,,
64,2012,Man on a Ledge,42000000,18620000,49621440,tt1568338,Man on a Ledge,102.0,Action,Adventure,Crime
17,2013,Youre Next,1000000,18494006,26887177,tt1853739,You're Next,95.0,Action,Comedy,Horror
1,2012,A Thousand Words,40000000,18450127,20790486,tt0763831,A Thousand Words,91.0,Comedy,Drama,
90,2013,Quartet,11000000,18388357,56178935,tt1441951,Quartet,94.0,Comedy,Drama,
75,2017,Only the Brave,38000000,18340051,24555177,tt3829920,Only the Brave,134.0,Action,Biography,Drama
7,2015,Paranormal Activity The Ghost Dimension,10000000,18297124,77959374,tt2473510,Paranormal Activity: The Ghost Dimension,88.0,Horror,Mystery,Thriller
18,2012,Chernobyl Diaries,1000000,18119640,42411721,tt1991245,Chernobyl Diaries,86.0,Horror,Mystery,Thriller
33,2019,Unplanned,6000000,18107621,18107621,tt9024106,Unplanned,106.0,Biography,Drama,
76,2013,Admission,13000000,18007317,18733666,tt1814621,Admission,107.0,Comedy,Drama,Romance
10,2018,Bad Times at the El Royale,32000000,17839115,29204379,tt6628394,Bad Times at the El Royale,141.0,Crime,Drama,Mystery
60,2015,Steve Jobs,30000000,17766658,35579007,tt2080374,Steve Jobs,122.0,Biography,Drama,
77,2012,The Perks of Being a Wallflower,13000000,17742948,33069303,tt1659337,The Perks of Being a Wallflower,103.0,Drama,,
24,2015,Seventh Son,95000000,17725785,108874967,tt1121096,Seventh Son,102.0,Action,Adventure,Fantasy
91,2013,Nebraska,12000000,17654912,24761360,tt1821549,Nebraska,115.0,Adventure,Comedy,Drama
18,2013,Parker,35000000,17616641,48543388,tt1904996,Parker,118.0,Action,Crime,Thriller
88,2013,Enough Said,8000000,17550872,25621449,tt2390361,Enough Said,93.0,Comedy,Drama,Romance
95,2018,Paul Apostle of Christ,5000000,17547999,25529498,tt7388562,"Paul, Apostle of Christ",108.0,Adventure,Biography,Drama
11,2015,Dope,7000000,17506470,18190831,tt3850214,Dope,103.0,Comedy,Crime,Drama
56,2017,Father Figures,25000000,17501244,21038441,tt1966359,Father Figures,113.0,Adventure,Comedy,Drama
54,2018,Sorry to Bother You,3200000,17493096,18285560,tt5688932,Sorry to Bother You,111.0,Comedy,Fantasy,Sci-Fi
97,2013,Dark Skies,3500000,17418667,27704111,tt2387433,Dark Skies,97.0,Horror,Sci-Fi,Thriller
96,2014,Addicted,5000000,17390770,17499242,tt3435418,Addicted,97.0,Drama,Thriller,
89,2014,A Haunted House 2,4000000,17329487,21206861,tt2828996,A Haunted House 2,86.0,Comedy,Fantasy,
88,2012,Wanderlust,32500000,17288155,24159934,tt1655460,Wanderlust,98.0,Fantasy,,
76,2014,A Most Wanted Man,15000000,17237855,36068890,tt1972571,A Most Wanted Man,122.0,Crime,Drama,Thriller
78,2012,Safe,33000000,17142080,41495213,tt6383726,Safe,75.0,Thriller,,
9,2016,Norm of the North,18000000,17062499,30535660,tt1594972,Norm of the North,90.0,Adventure,Animation,Comedy
58,2013,The Counselor,25000000,16973715,71009334,tt2193215,The Counselor,117.0,Crime,Drama,Thriller
55,2019,The Kid Who Would Be King,59000000,16790790,28348446,tt6811018,The Kid Who Would Be King,120.0,Action,Adventure,Family
58,2012,To Rome with Love,21500000,16684352,74326015,tt1859650,To Rome with Love,112.0,Comedy,Music,Romance
60,2018,Mary Queen of Scots,25000000,16468499,46734733,tt1555069,Mary Queen of Scots,119.0,Biography,Drama,History
98,2018,Forever My Girl,3500000,16376066,16376066,tt4103724,Forever My Girl,108.0,Drama,Music,Romance
87,2012,The Master,37500000,16247159,50647416,tt1560747,The Master,138.0,Drama,,
91,2014,Begin Again,8000000,16170632,68838736,tt1945037,Begin Again,68.0,Drama,Family,
11,2013,Jobs,18000000,16131410,43402515,tt2357129,Jobs,128.0,Biography,Drama,
38,2013,Fruitvale Station,900000,16098998,17549645,tt2334649,Fruitvale Station,85.0,Biography,Drama,Romance
