primary_title,genre1,genre2,genre3
Sing Street,Comedy,Drama,Music
Ratchet & Clank,Action,Adventure,Animation
A Hologram for the King,Comedy,Drama,Romance
I Feel Pretty,Comedy,Romance,
A Beautiful Planet,Documentary,,
Clouds of Sils Maria,Drama,,
Limbo,Drama,,
The Lucky One,Drama,Romance,
The Resort,Documentary,History,
The Bad Guys,Comedy,Drama,
Morbius,Action,Adventure,Drama
The Water Diviner,Drama,History,War
True Story,Drama,,
Little Boy,Drama,History,War
Think Like a Man,Comedy,Romance,
Memory,Documentary,,
The Contractor,Crime,Thriller,
Acharya,Biography,Drama,Music
Vivo,Animation,Comedy,Family
The Age of Adaline,Drama,Fantasy,Romance
The Longest Ride,Drama,Romance,
Woman in Gold,Biography,Drama,History
Dual,Drama,,
Unfriended,Horror,Mystery,Thriller
Monkey Kingdom,Documentary,,
Firebird,Drama,Romance,
Ex Machina,Drama,Mystery,Sci-Fi
American Reunion,Comedy,,
The Jungle Book,Animation,,
Monsieur Lazhar,Comedy,Drama,
Bernie,Family,,
Lockout,Action,Sci-Fi,Thriller
To the Arctic 3D,Documentary,,
The Raven,Crime,Mystery,Thriller
Keanu,Action,Comedy,Crime
God's Not Dead 2,Drama,,
Mortal Kombat,Action,Adventure,Fantasy
Safe,Thriller,,
The Five-Year Engagement,Comedy,Romance,
Chimpanzee,Documentary,,
Mother's Day,Comedy,Drama,Romance
The Pirates! Band of Misfits,Adventure,Animation,Comedy
Separation,Thriller,,
The Huntsman: Winter's War,Action,Adventure,Drama
Barbershop: The Next Cut,Comedy,Drama,
Paul Blart: Mall Cop 2,Action,Comedy,Crime
The Cabin in the Woods,Horror,,
The Boss,Comedy,,
The Three Stooges,Documentary,,
After,Adventure,,
Trance,Documentary,,
The Promise,Action,,
The Lost City of Z,Adventure,Biography,Drama
Shazam!,Action,Adventure,Comedy
Unforgettable,Drama,Romance,
Draft Day,Drama,Sport,
Oculus,Horror,Mystery,
Mud,Drama,,
The Big Wedding,Comedy,Drama,Romance
Free Fire,Action,Comedy,Crime
Avengers: Infinity War,Action,Adventure,Sci-Fi
Transcendence,Drama,,
Born in China,Documentary,,
The Case for Christ,Biography,Drama,
Brick Mansions,Action,Crime,
Bears,Documentary,,
Baahubali 2: The Conclusion,Action,Drama,
The Circle,Drama,,
The Miracle Season,Drama,Sport,
Super Troopers 2,Comedy,Crime,Mystery
The Company You Keep,Drama,Thriller,
Traffik,Action,Crime,Drama
The Other Woman,Comedy,Romance,
Pandas,Documentary,,
Colossal,Comedy,Drama,Fantasy
Beirut,Drama,Thriller,
Phoenix Forgotten,Horror,Mystery,Sci-Fi
Their Finest,Comedy,Drama,Romance
Norman,Drama,Thriller,
Home Run,Drama,Family,Sport
Sgt. Stubby: An American Hero,Adventure,Animation,Family
Filly Brown,Drama,Music,
A Quiet Passion,Biography,Drama,
Sleight,Action,Drama,Sci-Fi
Disobedience,Drama,Romance,
Your Name.,Animation,Drama,Fantasy
Maudie,Biography,Drama,Romance
You Were Never Really Here,Crime,Drama,Mystery
The Rider,Drama,Western,
Avengers: Endgame,Action,Adventure,Sci-Fi
Heaven Is for Real,Biography,Drama,Family
A Haunted House 2,Comedy,Fantasy,
Pain & Gain,Action,Comedy,Crime
How to Be a Latin Lover,Comedy,Drama,
Hellboy,Action,Adventure,Fantasy
The Quiet Ones,Drama,Horror,Thriller
Blockers,Comedy,,
Disconnect,Drama,Mystery,Sci-Fi
Going in Style,Comedy,Crime,
Smurfs: The Lost Village,Adventure,Animation,Comedy
Truth or Dare,Horror,Romance,Thriller
Evil Dead,Fantasy,Horror,Thriller
Missing Link,Drama,,
Fading Gigolo,Comedy,,
Captain America: The Winter Soldier,Action,Adventure,Sci-Fi
The Railway Man,Biography,Drama,Romance
Kon-Tiki,Adventure,History,
Chappaquiddick,Drama,History,Thriller
A Quiet Place,Drama,Horror,Sci-Fi
Rampage,Action,Adventure,Sci-Fi
Pet Sematary,Horror,Mystery,Thriller
Gifted,Crime,Drama,Thriller
Rio 2,Adventure,Animation,Comedy
Breakthrough,Family,,
Little,Comedy,Fantasy,Romance
The Curse of La Llorona,Horror,Mystery,Thriller
Firestarter,Documentary,,
Piku,Comedy,Drama,
Deadpool 2,Action,Adventure,Comedy
Aloha,Comedy,Drama,Romance
The Innocents,Drama,History,
Show Dogs,Adventure,Comedy,Family
Solo: A Star Wars Story,Action,Adventure,Fantasy
The Lovers,Comedy,Drama,Romance
Captain America: Civil War,Action,Adventure,Sci-Fi
Overboard,Comedy,Romance,
The Wall,Documentary,,
Far from the Madding Crowd,Drama,Romance,
I'll See You in My Dreams,Comedy,Drama,Romance
Book Club,Documentary,,
Life of the Party,Drama,,
Top Gun: Maverick,Action,Drama,
Vortex,Drama,,
Tanu Weds Manu Returns,Comedy,Drama,Romance
Lux Æterna,Drama,,
Pirates of the Caribbean: Dead Men Tell No Tales,Action,Adventure,Fantasy
Tully,Comedy,Drama,Mystery
Love & Friendship,Comedy,Drama,Romance
The Darkness,Horror,Thriller,
The Intruder,Horror,,
The Hustle,Comedy,Crime,
Long Shot,Comedy,Romance,
A Dog's Journey,Adventure,Comedy,Drama
Booksmart,Comedy,,
UglyDolls,Adventure,Animation,Comedy
"Everything, Everything",Drama,Romance,
King Arthur: Legend of the Sword,Action,Adventure,Drama
Maggie's Plan,Comedy,Drama,Romance
The Biggest Little Farm,Documentary,,
Brightburn,Horror,Sci-Fi,
Snatched,Drama,Horror,Mystery
Tolkien,Biography,Drama,War
The Sun Is Also a Star,Drama,Romance,
Baywatch,Action,Comedy,Crime
Alien: Covenant,Horror,Sci-Fi,Thriller
Poms,Comedy,Drama,
Guardians of the Galaxy Vol. 2,Action,Adventure,Comedy
Breaking In,Action,Crime,Drama
Ma,Drama,Horror,
Diary of a Wimpy Kid: The Long Haul,Comedy,Family,
X-Men: Apocalypse,Action,Adventure,Sci-Fi
The Angry Birds Movie,Action,Animation,Comedy
New Order,Fantasy,Sci-Fi,Thriller
Alice Through the Looking Glass,Adventure,Family,Fantasy
Neighbors 2: Sorority Rising,Comedy,,
Profile,Mystery,Thriller,
Finding You,Drama,Romance,
Dream Horse,Drama,,
Money Monster,Crime,Drama,Thriller
The Nice Guys,Action,Comedy,Crime
Paris Can Wait,Comedy,Drama,Romance
Lowriders,Adventure,Crime,Drama
First Reformed,Drama,Mystery,Thriller
RBG,Biography,Documentary,
Bad Samaritan,Crime,Horror,Thriller
Spiral,Thriller,,
Aladdin,Fantasy,,
Cruella,Comedy,,
How to Build a Girl,Comedy,,
John Wick: Chapter 3 - Parabellum,Action,Crime,Thriller
Lucky Grandma,Drama,,
Godzilla: King of the Monsters,Action,Adventure,Fantasy
The Wretched,Horror,,
Rocketman,Biography,Drama,Music
The Avengers,Action,Adventure,Sci-Fi
A Million Ways to Die in the West,Comedy,Western,
Peeples,Comedy,Romance,
Before Midnight,Drama,Romance,
What to Expect When You're Expecting,Comedy,Drama,Romance
Moonrise Kingdom,Adventure,Comedy,Drama
The Best Exotic Marigold Hotel,Comedy,Drama,Romance
The Grand Seduction,Comedy,,
Hysteria,Horror,Thriller,
The Dictator,Comedy,,
Ida,Drama,,
Frances Ha,Comedy,Drama,Romance
Yeh Jawaani Hai Deewani,Comedy,Drama,Musical
Battleship,Action,Adventure,Sci-Fi
The East,Adventure,Drama,Thriller
Dark Shadows,Comedy,Fantasy,Horror
Legends of Oz: Dorothy's Return,Adventure,Animation,Family
The Iceman,Biography,Crime,Drama
Moms' Night Out,Comedy,,
Fill the Void,Drama,Romance,
Love Is All You Need,Comedy,Drama,Romance
Stories We Tell,Documentary,,
Words and Pictures,Comedy,Drama,Romance
The Immigrant,Drama,Romance,
Poltergeist,Horror,Thriller,
Girl in Progress,Comedy,Drama,
Iron Man 3,Action,Adventure,Sci-Fi
Fast & Furious 6,Action,Crime,Thriller
Star Trek Into Darkness,Action,Adventure,Sci-Fi
The Great Gatsby,Drama,Romance,
Tomorrowland,Documentary,,
Now You See Me,Crime,Mystery,Thriller
Epic,Adventure,Animation,Family
The Intouchables,Biography,Comedy,Drama
Mad Max: Fury Road,Action,Adventure,Sci-Fi
San Andreas,Action,Adventure,Drama
Pitch Perfect 2,Comedy,Music,
After Earth,Action,Adventure,Drama
Avengers: Age of Ultron,Action,Adventure,Sci-Fi
Chernobyl Diaries,Horror,Mystery,Thriller
Fed Up,Documentary,,
The Hangover Part III,Adventure,Comedy,Crime
Crooked Arrows,Drama,Sport,
Godzilla,Action,Adventure,Sci-Fi
Blended,Comedy,Romance,
X-Men: Days of Future Past,Action,Adventure,Sci-Fi
Chef,Comedy,Drama,Family
Million Dollar Arm,Biography,Drama,Sport
Maleficent,Action,Adventure,Family
Neighbors,Drama,,
The Amazing Spider-Man 2,Action,Adventure,Sci-Fi
Men in Black 3,Action,Adventure,Comedy
Hot Pursuit,Action,Comedy,Crime
1982,Drama,,
Transformers: Age of Extinction,Action,Adventure,Sci-Fi
It Comes at Night,Horror,Mystery,
White House Down,Action,Drama,Thriller
Megan Leavey,Biography,Drama,War
The Fault in Our Stars,Drama,Romance,
Edge of Tomorrow,Action,Sci-Fi,
The Beguiled,Drama,,
Late Night,Comedy,Drama,
Inside Out,,,
Shaft,Action,Comedy,Crime
This Is the End,Comedy,Fantasy,
Popstar: Never Stop Never Stopping,Comedy,Music,
Incredibles 2,Action,Adventure,Animation
Jurassic World,Action,Adventure,Sci-Fi
The Internship,Comedy,,
Child's Play,Horror,,
Hunt for the Wilderpeople,Adventure,Comedy,Drama
Yesterday,Comedy,Fantasy,Music
Anna,Drama,Mystery,Sci-Fi
The Hero,,,
Ted 2,Comedy,,
The Other Side of Heaven 2: Fire of Faith,Drama,,
Wild Rose,Drama,Music,
Warcraft,Action,Adventure,Fantasy
World War Z,Action,Adventure,Horror
Monsters University,Adventure,Animation,Comedy
The Book of Henry,Crime,Drama,Thriller
Beatriz at Dinner,Comedy,Drama,
The Shallows,Drama,Horror,Thriller
Me Before You,Drama,Romance,
Your Sister's Sister,Comedy,Drama,
Jersey Boys,Biography,Drama,Music
Man of Steel,Action,Adventure,Sci-Fi
The Heat,Action,Comedy,Crime
Bharat,Action,Drama,
Maiden,Documentary,,
Free State of Jones,Action,Biography,Drama
The Dead Don't Die,Comedy,Fantasy,Horror
Spy,Action,Crime,Drama
Think Like a Man Too,Comedy,Romance,
My Cousin Rachel,Drama,Mystery,Romance
Pavarotti,Biography,Documentary,Music
The Last Black Man in San Francisco,Drama,,
Swiss Army Man,Adventure,Comedy,Drama
Ocean's Eight,Action,Comedy,Crime
Annabelle Comes Home,Horror,Mystery,Thriller
Much Ado About Nothing,Comedy,Drama,
Tag,Drama,,
SuperFly,Action,Crime,Thriller
Won't You Be My Neighbor?,Biography,Documentary,
Snowpiercer,Action,Drama,Sci-Fi
Adrift,Action,Adventure,Biography
All Eyez on Me,Biography,Drama,Music
47 Meters Down,Adventure,Drama,Horror
The Big Sick,Comedy,Drama,Romance
The House,Comedy,Crime,
Sicario: Day of the Soldado,Action,Crime,Drama
I'm So Excited!,Comedy,,
Hereditary,Drama,Horror,Mystery
Captain Underpants: The First Epic Movie,Action,Animation,Comedy
Unfinished Song,Comedy,Drama,Music
The Attack,Drama,Mystery,War
Uncle Drew,Comedy,Sport,
Three Identical Strangers,Biography,Documentary,Drama
Upgrade,Action,Sci-Fi,Thriller
Men in Black: International,Action,Adventure,Comedy
